no of cores,r1,r2,r3,r_avg
1,2.938216,2.940676,2.969839,2.949577
2,1.549859,1.473762,1.515696,1.513105666666667
3,1.101923,1.051347,1.165083,1.1061176666666668
4,0.890291,0.859516,0.868985,0.8729306666666666
5,0.735872,0.929404,0.810974,0.8254166666666666
6,0.720567,0.868048,0.722811,0.7704753333333333
7,0.750042,0.761965,0.72525,0.7457523333333334
8,0.693474,0.66266,0.706336,0.6874899999999999
9,0.672253,0.675326,0.648858,0.665479
10,0.636308,0.630662,0.729302,0.6654239999999999
11,0.66305,0.652975,0.659042,0.6583556666666667
12,0.722327,0.662407,0.725034,0.703256
13,0.714951,0.651463,0.659023,0.6751456666666668
14,0.658552,0.653839,0.66887,0.6604203333333333
15,0.61509,0.619291,0.640156,0.6248456666666666
16,0.577495,0.661396,0.670461,0.6364506666666666
17,0.5832,0.633266,0.599771,0.6054123333333333
18,0.566243,1.11156,0.831791,0.8365313333333333
19,0.613923,0.627876,0.570853,0.6042173333333333
20,0.521861,0.810195,0.678397,0.670151
21,0.608761,0.582841,0.540972,0.5775246666666667
22,0.485644,0.500159,0.624789,0.536864
23,0.559491,0.520382,0.628652,0.5695083333333334
24,0.44234,0.4823,0.523042,0.48256066666666664
25,0.406289,0.60499,0.65233,0.5545363333333334
26,0.4012,0.443296,0.452882,0.43245933333333336
27,0.486787,0.468316,0.452948,0.4693503333333333
28,0.444706,0.451969,0.471659,0.4561113333333333
29,0.450797,0.417341,0.512781,0.4603063333333333
30,0.49676,0.428151,0.416169,0.4470266666666667
31,0.405893,0.413199,0.432292,0.41712799999999994
32,0.535411,0.405015,0.404383,0.4482696666666666
33,0.405813,0.388533,0.389976,0.39477399999999996
34,0.376197,0.391997,0.570407,0.44620033333333337
35,0.517465,0.390761,0.356768,0.42166466666666663
36,0.406125,0.342887,0.343125,0.3640456666666667
37,0.396321,0.346412,0.331487,0.3580733333333333
38,0.304168,0.399244,0.296068,0.33315999999999996
39,0.285835,0.437177,0.29168,0.3382306666666666
40,0.318748,0.435964,0.25475,0.33648733333333336
41,0.257008,0.275192,0.2492,0.2604666666666667
42,0.24546,0.23713,0.450183,0.31092433333333336
43,0.22618,0.221857,0.244454,0.23083033333333333
44,0.236329,0.240487,0.215783,0.2308663333333333
45,0.219219,0.230978,0.200887,0.217028
46,0.204421,0.203807,0.188123,0.19878366666666666
47,0.364303,0.224711,0.166317,0.251777
48,0.171647,0.175946,0.20341,0.18366766666666667
49,0.164395,0.174539,0.196033,0.17832233333333333
50,0.151355,0.148278,0.339554,0.21306233333333333
51,0.141633,0.198804,0.193101,0.17784599999999998
52,0.1377,0.145218,0.197144,0.16002066666666667
53,0.158597,0.141936,0.15,0.15017766666666665
54,0.400765,0.151458,0.14884,0.23368766666666665
55,0.202971,0.163686,0.138317,0.16832466666666668
56,0.162896,0.13609,0.139556,0.14618066666666665
